N_surface,S_100,S_111,S_110,S_311,Avg_surf,q6q6_avg_surf,target
608,22,18,122,25,8.2911,7.7763,-5897.5056
627,0,24,158,20,8.3668,7.9617,-5987.8229
567,52,308,64,28,8.4427,8.2434,-6029.8255
579,8,272,57,24,8.6062,7.0121,-6011.4065
661,0,256,289,1,8.5991,8.5356,-6018.0849
593,2,68,12,156,8.2226,7.8786,-6008.7428
600,85,264,4,103,8.24,7.8683,-6041.5586
597,31,372,44,53,8.4757,8.2747,-6079.6334
607,66,79,285,0,8.3361,8.2586,-6091.9688
617,0,421,103,27,8.5575,8.3582,-6112.7558
557,115,221,36,55,8.2711,8.0413,-6123.0416
603,38,364,45,48,8.4527,8.0265,-6130.3049
592,48,174,60,13,8.5473,6.8598,-6094.4206
587,39,335,90,38,8.4753,8.3066,-6166.9344
629,0,145,111,12,8.4595,8.186,-6174.8555
653,0,287,308,0,8.6662,8.4962,-6203.5706
611,28,144,74,12,8.5516,6.6956,-6172.249
606,199,30,40,26,8.0561,6.8102,-6181.4951
644,0,71,84,10,8.4425,7.8696,-6212.59
562,149,214,37,40,8.2189,7.694,-6244.8205
635,68,40,267,7,8.378,7.885,-6257.2745
582,75,298,43,47,8.4107,8.1564,-6325.7308
636,21,168,325,0,8.4921,8.4544,-6344.3872
642,0,445,79,42,8.5701,8.3536,-6373.2102
607,28,373,81,25,8.5288,8.3377,-6409.2195
587,107,283,38,47,8.3135,7.9523,-6414.2185
622,15,392,108,23,8.5595,8.3328,-6443.0045
912,0,663,67,76,8.602,8.4397,-10178.618
624,21,454,74,21,8.5096,8.4824,-6463.9342
608,83,72,28,130,8.2401,7.7911,-6447.8028
657,0,453,67,48,8.5571,8.3973,-6498.1781
703,0,168,368,11,8.6387,8.3798,-6486.7728
792,0,507,128,0,8.6654,7.827,-6484.0479
662,0,450,62,58,8.5181,8.2976,-6531.5689
647,0,431,134,16,8.5889,8.4482,-6592.735
637,8,424,112,15,8.5714,8.3611,-6626.604
608,134,152,151,31,8.2336,8.1168,-6639.0781
633,6,82,30,125,8.3397,7.7852,-6645.1135
636,7,70,39,122,8.25,7.8239,-6660.2497
661,0,174,124,51,8.4342,8.3147,-6671.556
667,6,141,92,58,8.4183,8.1184,-6708.9336
657,0,450,140,4,8.6332,8.3927,-6741.2198
672,0,526,119,0,8.6116,8.5848,-6753.6754
722,0,486,135,0,8.7022,8.4543,-6751.5773
678,0,527,142,0,8.649,8.6254,-6775.3293
612,76,314,70,49,8.4118,8.1748,-6801.4882
708,21,24,443,0,8.5297,8.3898,-6771.7115
704,20,24,400,0,8.4957,8.2898,-6798.5067
632,48,356,90,41,8.4873,8.3006,-6842.0317
680,2,13,81,28,8.2897,7.6779,-6796.897
718,0,167,384,0,8.6407,8.3552,-6820.7468
632,46,373,73,42,8.4731,8.2832,-6854.973
636,67,288,159,32,8.4135,8.3396,-6889.9956
728,0,80,478,0,8.603,8.4849,-6914.9584
608,207,224,2,98,8.1036,8.0822,-7000.5309
755,0,80,507,0,8.6874,8.4675,-7020.6082
647,63,369,57,51,8.4482,8.2457,-7094.355
697,5,29,73,37,8.3601,7.6729,-7059.147
636,89,384,36,56,8.3899,8.3695,-7116.4553
677,26,118,104,7,8.3516,8.1123,-7094.6612
751,1,40,421,10,8.5739,8.1638,-7079.9942
705,5,7,66,29,8.3121,7.5915,-7070.7274
704,2,18,80,32,8.3438,7.6151,-7075.5009
627,111,294,53,57,8.3684,8.1356,-7155.287
653,74,365,45,55,8.4196,8.0521,-7162.743
672,18,424,115,24,8.5595,8.3705,-7178.0292
702,0,493,112,15,8.6225,8.4131,-7378.5258
671,131,48,258,0,8.2548,8.1624,-7163.4465
781,0,25,540,0,8.6594,8.443,-7166.4728
715,4,22,130,30,8.379,7.7888,-7179.1836
773,0,38,462,8,8.6417,8.0039,-7186.5596
655,192,196,31,64,8.1603,7.7985,-7204.8799
781,0,24,521,0,8.6479,8.4558,-7194.2859
657,38,395,88,36,8.5084,8.3318,-7272.7762
632,135,285,33,38,8.2991,7.9747,-7262.1509
686,131,28,244,4,8.2813,7.7784,-7239.8738
665,25,52,18,186,8.2301,7.988,-7300.3874
673,5,55,30,174,8.2749,7.9183,-7322.998
702,0,474,132,18,8.6154,8.4786,-7365.4171
728,0,139,179,9,8.5165,8.2637,-7378.657
710,0,146,82,17,8.4141,8.0296,-7387.5459
697,28,452,73,44,8.5366,8.3759,-7540.4354
692,17,453,100,23,8.5723,8.4321,-7572.082
657,96,331,63,55,8.3912,8.2481,-7576.2
689,285,18,34,19,7.9913,7.0697,-7524.8824
642,0,441,88,0,8.6651,7.9766,-7603.5809
777,0,308,350,0,8.6422,8.5109,-7592.5006
732,0,360,304,0,8.6011,8.5519,-7624.8269
768,0,158,402,0,8.6536,8.4154,-7635.5445
712,36,461,57,49,8.5239,8.3581,-7722.8712
717,2,497,122,10,8.6179,8.463,-7739.5932
762,0,360,348,0,8.7008,8.6588,-7734.8829
717,40,453,51,59,8.5007,8.2134,-7778.598
737,0,525,91,28,8.6187,8.4627,-7804.6218
732,0,516,146,0,8.6544,8.4863,-7806.9647
730,69,120,357,0,8.437,8.3959,-7862.4285
746,21,119,105,42,8.4464,7.9062,-7899.3404
672,139,287,51,58,8.3304,8.1071,-7977.1232
672,285,120,30,64,8.0104,7.9836,-7971.0281
752,24,224,387,0,8.5306,8.4867,-8009.1077
732,20,552,87,20,8.5792,8.5191,-8040.28
769,0,119,104,28,8.4603,7.8479,-8003.8047
702,83,136,68,84,8.3077,8.0698,-8027.7987
704,256,129,32,69,8.1009,7.6037,-8021.351
762,0,543,74,49,8.5984,8.4475,-8059.2476
672,266,123,33,51,8.0878,7.622,-8060.6044
770,0,129,109,6,8.4675,8.226,-8062.6567
697,97,369,57,58,8.4175,8.2482,-8105.1963
720,0,48,21,253,8.2375,7.9736,-8076.6307
679,160,288,38,39,8.3122,7.7791,-8103.7982
707,58,415,91,50,8.505,8.2885,-8135.8577
748,110,365,2,118,8.2968,7.984,-8105.6605
777,65,23,389,22,8.4324,8.2033,-8143.3296
829,0,206,453,0,8.6876,8.4982,-8168.2618
777,0,555,56,46,8.6088,8.3707,-8185.8532
702,112,365,49,58,8.3889,8.0655,-8199.173
777,5,48,97,51,8.3822,7.8649,-8201.4287
727,36,464,94,34,8.5488,8.3865,-8263.2401
780,0,624,136,0,8.6603,8.5923,-8330.2228
786,0,624,155,0,8.6896,8.6756,-8352.0952
847,0,603,149,0,8.7462,8.5915,-8458.2711
747,25,485,104,30,8.5837,8.3788,-8513.2422
963,0,647,130,0,8.7092,8.1173,-8451.4462
762,15,527,111,20,8.6063,8.4436,-8540.2456
733,337,69,23,62,7.9864,7.3274,-8558.2204
857,0,141,499,13,8.6406,8.3057,-8565.375
777,0,188,86,67,8.4659,8.2098,-8583.8298
783,0,187,119,60,8.4789,8.1226,-8609.0023
796,2,167,130,88,8.4384,8.2965,-8648.552
787,0,562,129,12,8.6595,8.4689,-8689.9939
752,51,464,74,34,8.5346,8.2686,-8712.3701
850,0,120,556,0,8.6482,8.5576,-8684.7028
722,269,52,21,31,8.0831,7.0291,-8668.0652
743,86,38,23,227,8.2127,7.8371,-8690.1661
777,8,536,136,15,8.6203,8.4569,-8736.2759
840,24,54,475,5,8.5488,8.2286,-8702.6299
732,97,397,78,51,8.4426,8.3074,-8775.4056
880,0,120,607,0,8.7114,8.5239,-8793.5137
797,0,561,151,7,8.6612,8.4906,-8845.1523
754,363,43,24,36,7.9854,7.3753,-8859.4155
732,176,288,90,51,8.2978,8.2418,-8908.7867
752,89,488,50,48,8.4628,8.4162,-8925.2534
770,1,33,33,257,8.2844,7.9662,-8883.5326
767,77,459,52,66,8.4681,8.3194,-8955.1136
896,0,17,585,12,8.6283,8.346,-8966.8162
781,322,16,57,23,8.0653,7.1575,-8955.6989
772,83,454,43,57,8.4611,8.149,-9018.0351
809,71,12,179,29,8.3189,7.8257,-8986.6524
732,208,336,16,98,8.2322,8.1926,-9053.7595
915,0,48,643,0,8.7093,8.5683,-9011.1895
797,21,543,101,31,8.6035,8.4592,-9103.6499
790,345,31,64,13,8.0532,7.2203,-9050.0439
747,129,374,52,72,8.3976,8.1901,-9129.1937
919,0,24,590,17,8.6627,8.3591,-9074.849
914,0,64,573,2,8.6729,8.4694,-9099.3395
806,27,137,52,17,8.4181,8.0533,-9162.0366
754,154,366,43,49,8.3422,8.0544,-9233.3008
875,0,181,391,2,8.648,8.4297,-9233.5748
859,2,24,189,27,8.4249,7.9371,-9281.0441
837,136,30,336,16,8.3489,7.9331,-9444.6353
848,23,656,97,22,8.6132,8.5849,-9847.0374
902,0,727,168,0,8.6962,8.6774,-10153.457
830,0,224,504,0,8.6855,8.6036,-8403.0501
871,5,90,39,235,8.3272,8.0057,-10599.507
812,361,224,3,114,8.0628,7.9914,-10635.989
1149,0,813,130,0,8.7328,8.1976,-10792.664
1058,0,80,773,0,8.7391,8.5737,-11133.157
864,202,456,25,94,8.3438,8.3194,-11355.943
1082,0,49,708,8,8.7135,8.4621,-11295.4
877,440,120,13,73,8.0285,7.6921,-11698.68
972,21,768,110,26,8.6389,8.6121,-11897.247
1003,137,25,488,21,8.4267,8.1565,-11972.511
1026,0,838,180,0,8.7057,8.6813,-12204.198
1035,2,22,123,49,8.401,7.6812,-12147.191
924,543,48,10,48,7.9275,7.4372,-12311.941
978,0,48,28,359,8.2986,7.9335,-12554.881
1003,453,43,48,31,8.0678,7.2233,-12684.436
960,366,360,2,123,8.1917,8.1594,-13507.821
1203,0,120,867,0,8.7315,8.5802,-13539.773
1347,0,967,148,1,8.7483,8.3667,-13522.242
1047,1,33,50,365,8.32,8.0296,-13612.636
1128,0,24,242,26,8.461,8.0337,-13597.581
1248,0,23,891,18,8.7324,8.5296,-13824.015
1004,193,582,39,85,8.4313,8.3805,-13936.005
1104,24,888,120,36,8.6413,8.615,-14205.519
1158,0,958,188,0,8.7219,8.6744,-14509.536
1100,6,65,50,326,8.3491,8.0118,-14720.318
1182,135,27,655,1,8.5135,8.3325,-14855.922
1218,5,26,121,37,8.4261,7.8703,-15398.624
1148,92,848,85,44,8.5889,8.5671,-15860.56
1155,10,110,41,340,8.3498,7.9619,-15903.265
1106,636,121,8,91,7.9937,7.6772,-16202.18
1359,0,168,970,0,8.7822,8.6365,-16247.459
1561,0,1177,174,0,8.7687,8.442,-16669.986
1244,23,1016,133,28,8.6712,8.6616,-16788.248
1423,0,37,1016,11,8.7561,8.4167,-16701.112
1152,206,720,51,94,8.4679,8.4384,-16806.259
1251,226,24,579,24,8.4133,8.1902,-16752.877
1298,0,1083,201,0,8.7488,8.735,-17097.548
1217,1,77,28,406,8.3336,8.0616,-17148.304
1223,640,34,43,40,8.0213,7.3982,-17193.088
1321,4,39,158,67,8.4474,7.8781,-17238.944
1281,4,52,36,407,8.3528,8.0617,-18427.487
1296,88,984,99,59,8.6219,8.5972,-18731.37
1212,554,360,7,147,8.1452,8.0652,-18972.543
1417,2,10,260,45,8.4622,7.9986,-19069.337
1523,0,224,1082,0,8.7951,8.6638,-19283.682
1392,20,1152,144,25,8.7148,8.6803,-19657.474
1349,8,35,44,481,8.344,8.0823,-19782.846
1446,0,1221,211,1,8.7566,8.7372,-19966.074
1615,0,19,1175,17,8.7808,8.5207,-19957.629
1606,0,65,1137,3,8.7659,8.5772,-19974.845
1794,0,1367,180,0,8.811,8.4838,-20279.404
1460,225,24,801,0,8.489,8.3623,-20417.788
1418,3,85,22,529,8.3265,8.067,-21223.287
1359,810,120,6,84,8.0052,7.6534,-21659.299
1452,89,1128,110,57,8.6529,8.6315,-21902.82
1471,848,32,55,20,8.019,7.3698,-22652.543
1482,10,118,32,519,8.361,8.1572,-22721.628
1548,22,1296,158,25,8.7183,8.7035,-22830.472
1602,0,1367,228,0,8.7678,8.7528,-23136.407
1392,570,528,7,146,8.2335,8.222,-23147.24
1636,7,24,174,67,8.445,7.8631,-23562.655
1824,0,24,1422,0,8.795,8.6815,-23594.825
1812,0,29,1316,12,8.7693,8.5066,-23637.704
1452,362,816,38,115,8.427,8.4112,-24010.705
1549,8,78,46,553,8.3667,8.0426,-24263.982
2035,0,1600,197,1,8.8039,8.4796,-24377.489
1616,86,1280,123,56,8.6745,8.6553,-25405.587
1757,1,23,322,35,8.5026,8.1349,-25835.481
1620,0,47,35,619,8.3568,8.113,-25894.563
1712,18,1448,172,29,8.7348,8.715,-26325.001
1766,0,1517,236,0,8.778,8.7695,-26640.54
1568,931,224,4,114,8.0485,7.8425,-27108.563
1759,346,25,918,3,8.4935,8.3673,-27120.519
1700,5,62,37,716,8.3582,8.1482,-27616.845
2025,0,50,1574,0,8.8212,8.6672,-27627.361
2035,0,19,1571,11,8.8029,8.6113,-27706.068
1632,367,984,48,123,8.473,8.4657,-28191.392
1862,5,32,173,47,8.4565,8.0473,-28561.295
2304,0,1852,228,0,8.8199,8.5664,-28990.617
1788,90,1440,134,55,8.6868,8.6767,-29233.485
1750,1101,26,57,25,7.9789,7.4674,-29167.024
1775,6,95,43,688,8.3752,8.0152,-29395.807
1938,0,1680,252,0,8.8075,8.7962,-30456.735
1692,808,527,7,176,8.1903,8.1519,-30801.916
1856,2,111,62,641,8.4203,8.1358,-31256.344
2001,2,33,224,84,8.5047,7.7876,-31324.092
2239,0,82,1778,1,8.8334,8.6735,-32076.388
1986,342,62,1053,4,8.5181,8.4048,-32133.14
2265,0,28,1757,2,8.819,8.6702,-32240.906
1821,370,1160,61,131,8.5074,8.4931,-32743.73
1921,4,77,38,731,8.3837,8.1931,-33157.4
1968,88,1606,146,67,8.7099,8.6814,-33409.071
2128,5,17,403,43,8.5381,8.0752,-34047.886
2588,0,2094,212,0,8.8481,8.5734,-34139.583
2118,0,1846,261,0,8.8026,8.7956,-34651.678
1868,1170,225,5,116,8.0471,7.8217,-34767.271
1998,8,72,18,803,8.3654,8.1767,-35157.8
1904,816,728,3,172,8.2673,8.26,-36534.38
2062,1287,30,62,38,8.0218,7.468,-36810.097
2460,0,121,1961,2,8.8337,8.7305,-36948.732
2084,0,55,36,843,8.3863,8.143,-37266.829
2498,0,51,1935,2,8.8475,8.6261,-37251.547
2156,90,1784,158,42,8.7273,8.7106,-37957.49
2306,0,2024,275,0,8.8114,8.8005,-39198.883
2882,0,2357,233,0,8.8501,8.6513,-39889.224
2395,2,34,251,88,8.5048,7.9729,-40574.412
2333,482,72,1211,5,8.5036,8.3652,-41071.799
2251,9,108,60,846,8.4078,8.1279,-41661.805
2689,0,168,2146,0,8.849,8.736,-42267.617
2752,0,28,2182,4,8.8477,8.6893,-42711.202
2352,92,1968,168,58,8.7419,8.7394,-42893.663
2192,549,1280,51,147,8.4913,8.4685,-43685.179
2192,1455,224,4,111,8.0233,7.823,-43650.302
2538,1,24,440,36,8.5335,8.182,-43847.838
2333,0,100,45,879,8.4218,8.204,-44007.142
2502,0,2202,282,1,8.8273,8.809,-44121.755
2381,1554,37,52,42,8.0126,7.5204,-45696.358
3190,0,2661,254,0,8.8624,8.6956,-46249.284
2252,1122,728,2,214,8.2083,8.1758,-46758.726
2668,5,33,268,52,8.5296,8.0952,-47665.876
3014,0,14,2414,17,8.8464,8.6891,-48734.897
2520,3,55,51,969,8.4131,8.1841,-48925.647
2706,0,2399,298,0,8.8234,8.8193,-49440.889
2412,564,1488,61,157,8.5199,8.5029,-49862.678
2810,4,32,259,118,8.531,7.968,-51508.006
2624,214,2096,145,85,8.7054,8.6951,-52024.524
583,0,89,95,5,8.7753,1.9863,-5923.917
607,0,59,75,0,8.6474,1.7974,-6072.2155
1259,1,184,196,15,8.745,4.1183,-17298.557
1913,13,180,183,58,8.6069,5.4501,-27754.344
2467,16,213,261,81,8.4937,5.9781,-41574.592
2605,21,284,295,113,8.5328,7.1862,-50624.761
2645,43,305,329,142,8.555,7.3698,-52150.658
2673,39,324,377,145,8.578,7.4276,-52725.498
2673,48,311,369,122,8.5507,7.5051,-53128.223
2675,49,315,366,152,8.5589,7.489,-53339.329
563,0,61,85,1,8.7158,2.1208,-5657.5674
573,0,65,92,4,8.6806,1.911,-5724.7352
1267,6,95,162,24,8.5509,4.3331,-16357.955
1849,9,143,214,45,8.477,4.2445,-24158.473
2435,12,195,282,63,8.6041,4.7437,-38197.27
2595,16,202,346,72,8.6416,5.3387,-46885.408
2585,28,252,357,85,8.6422,6.1625,-50143.755
2631,27,254,377,106,8.6663,6.3919,-51533.864
2653,33,250,362,108,8.6804,6.2205,-52220.107
2663,46,226,364,121,8.6496,6.522,-52608.36
553,1,44,70,3,8.7089,1.1483,-5344.8716
566,1,50,78,2,8.682,1.3251,-5410.1598
1015,1,67,125,4,8.7961,1.131,-11812.369
1256,5,167,140,14,8.676,3.371,-15671.005
1960,2,177,249,31,8.6816,3.8526,-24953.105
2329,6,240,315,35,8.6415,5.0558,-34527.924
2495,14,271,328,63,8.5515,6.3242,-40941.354
2626,16,267,397,72,8.556,6.7616,-46798.552
2647,30,301,391,82,8.5723,7.0238,-49407.583
2665,26,318,403,89,8.5921,7.254,-50722.046
517,0,43,66,1,8.617,1.2689,-4858.0955
517,0,66,57,3,8.646,1.6364,-4903.5115
882,0,89,111,11,8.6531,2.6247,-8879.5811
1195,1,133,179,23,8.5732,3.8678,-12873.724
1557,3,218,242,25,8.6333,4.7071,-18185.877
1876,6,219,276,47,8.6274,5.6322,-24215.683
2217,5,279,308,44,8.6432,5.3748,-31143.715
2417,11,268,295,81,8.5921,5.8382,-37973.496
2517,31,310,310,78,8.6198,6.0413,-42774.668
2638,22,313,371,95,8.6634,6.6334,-46258.136
466,0,29,61,1,8.5837,1.309,-4051.2564
465,0,30,68,3,8.6817,1.243,-4105.3756
739,4,90,97,18,8.59,3.9959,-7147.1753
957,12,111,129,24,8.535,4.5141,-9906.0555
1211,5,159,168,35,8.5392,5.777,-13440.138
1600,11,179,203,50,8.4575,5.33,-18043.732
2058,9,248,265,52,8.4971,5.2959,-23605.011
2256,21,237,269,80,8.5058,5.5603,-29107.086
2508,18,309,265,73,8.5339,5.4362,-34120.384
2681,20,338,348,97,8.5483,5.8553,-38837.488
424,0,24,58,0,8.4788,0.8726,-3366.6822
415,0,28,52,0,8.6048,0.8795,-3430.0247
629,1,87,113,8,8.6025,4.3529,-5987.3483
742,4,131,106,23,8.5256,5.6927,-7241.3877
963,3,153,133,25,8.4746,5.7009,-9735.2861
1191,2,158,162,34,8.5038,5.1654,-12895.767
1641,10,240,196,50,8.5119,4.8982,-17138.651
1940,12,283,269,52,8.6284,4.9572,-23008.112
2096,18,274,275,62,8.5978,5.8049,-26569.666
2316,17,275,296,61,8.5782,5.7781,-30348.474
400,0,22,67,2,8.4025,0.965,-2864.9041
387,0,14,51,2,8.4755,0.6693,-2934.9075
461,0,87,68,4,8.564,3.8698,-3988.3425
578,0,104,92,17,8.5588,4.6851,-5153.684
781,3,106,113,19,8.4494,5.1703,-7197.1986
868,3,136,148,29,8.4493,6.6993,-8403.7771
1466,2,156,197,52,8.4372,4.9045,-13912.744
1666,17,170,220,54,8.44,5.7227,-18049.498
1931,14,210,220,72,8.3998,5.8125,-21677.033
2123,9,280,231,82,8.4131,6.082,-24969.514
316,0,14,46,3,8.3987,0.75,-2221.6105
315,0,13,33,3,8.4635,0.6222,-2273.7959
458,0,69,75,5,8.6856,2.2096,-3897.2653
583,0,104,85,5,8.5557,3.8628,-5143.9408
690,1,122,122,6,8.6101,4.4681,-6499.5492
896,8,142,120,18,8.5,5.6875,-8837.4702
1061,7,182,147,19,8.5674,5.0094,-10862.758
1318,10,170,188,37,8.547,4.9401,-14149.62
1673,3,229,265,45,8.5649,5.1751,-17932.833
1741,12,223,217,43,8.5818,5.3791,-20540.702
318,0,21,58,3,8.2358,1.2673,-1779.6654
287,0,14,45,1,8.2927,1.0836,-1804.0565
433,0,54,59,5,8.5774,2.4411,-3542.0925
541,0,90,102,4,8.5416,3.6026,-4395.1525
575,2,130,92,10,8.6035,6.4852,-5102.1409
763,12,122,115,27,8.4142,5.5806,-6693.547
822,10,122,109,32,8.4246,6.18,-7851.5342
1023,12,140,135,45,8.4037,6.2708,-10224.327
1215,12,124,170,41,8.3934,5.8667,-12349.19
1339,16,161,133,44,8.3682,6.1822,-14092.283
255,0,14,41,1,8.2863,1.1216,-1500.5541
253,0,18,45,0,8.332,1.1344,-1519.0193
305,0,37,44,5,8.3475,5.3803,-2164.6679
352,0,42,63,9,8.267,5.6108,-2620.4977
486,4,81,59,18,8.3889,5.4815,-3948.0765
579,5,88,102,20,8.4076,6.5112,-4865.6816
842,6,115,133,17,8.3955,5.2993,-7040.4996
962,10,131,121,34,8.4252,5.7879,-8901.8677
1027,8,157,139,40,8.4372,6.6251,-9955.2223
1140,14,180,158,38,8.4202,6.3509,-11155.332
590,0,89,119,5,8.7729,3.6542,-6005.6047
607,0,67,94,5,8.6442,2.9061,-6140.9291
1310,12,112,144,48,8.4901,5.7336,-17428.74
2039,15,166,250,49,8.4071,5.1903,-27776.715
2509,19,190,247,73,8.4966,5.6058,-41056.658
2622,23,255,328,125,8.5446,6.8429,-50560.595
2653,30,279,343,141,8.5537,7.1357,-52178.476
2676,40,290,338,121,8.5534,7.0717,-52923.536
2706,47,317,364,148,8.565,7.1785,-53372.042
2711,48,345,388,135,8.5603,7.2597,-53543.541
565,0,91,75,3,8.731,2.1522,-5651.7918
582,0,81,90,3,8.6323,2.0704,-5720.9753
1241,0,125,150,17,8.7035,2.7808,-16198.173
1790,4,183,240,21,8.6648,3.9821,-24061.375
2333,16,235,316,23,8.6914,4.8838,-37716.033
2521,14,261,319,56,8.6846,6.0472,-46757.451
2614,22,325,336,79,8.6458,6.544,-50017.677
2648,25,372,328,112,8.6412,6.9468,-51576.477
2654,27,340,350,109,8.6567,7.1119,-52221.671
2675,36,348,373,114,8.6617,7.1327,-52640.886
542,0,47,79,3,8.7454,1.452,-5306.9494
557,0,59,97,1,8.7361,1.623,-5359.8379
1032,3,86,132,19,8.6172,3.1153,-11989.007
1440,11,141,180,53,8.3771,5.9653,-16894.969
2074,20,191,250,62,8.3901,5.6721,-26017.801
2410,21,236,290,80,8.4461,6.2299,-33226.854
2562,20,264,291,97,8.4403,6.1717,-40428.416
2665,19,300,311,110,8.4341,6.6826,-46387.983
2682,32,299,287,117,8.456,6.9038,-49410.256
2688,24,303,307,144,8.4632,7.0149,-50921.644
524,0,59,68,3,8.645,1.5592,-4862.8487
524,1,52,71,5,8.6756,1.7595,-4894.5954
867,3,112,130,8,8.6874,3.3253,-9427.9777
1090,1,180,165,16,8.5725,4.9587,-11847.717
1472,6,171,212,21,8.6923,4.7215,-17438.389
1725,8,218,248,32,8.6493,5.1617,-22452.115
2258,14,281,317,35,8.6612,5.0075,-30046.181
2453,15,298,303,75,8.6221,5.5675,-37340.907
2565,22,321,300,68,8.6055,5.8277,-42511.437
2595,22,346,355,78,8.6239,6.4355,-46358.754
462,0,29,47,4,8.5758,1.1126,-4019.2079
464,1,42,48,2,8.5862,1.3707,-4115.0536
683,0,85,85,6,8.6179,3.3001,-6779.1308
882,6,152,135,13,8.5624,5.5261,-9108.8648
1228,9,166,164,27,8.5252,5.0708,-13028.975
1616,6,210,235,32,8.5427,5.1498,-17793.637
1914,11,271,228,54,8.5199,5.8621,-22195.487
2350,25,234,233,85,8.4783,5.4894,-29778.717
2595,15,315,304,76,8.5326,6.0975,-34369.434
2742,29,365,292,104,8.5069,6.4187,-38991.648
419,0,18,48,2,8.4463,0.8592,-3283.2486
427,0,33,55,1,8.5925,1.2927,-3414.8807
619,1,78,98,5,8.5735,3.2585,-5754.4502
740,11,127,111,31,8.4608,6.6824,-7179.8256
985,6,162,149,31,8.4508,5.8812,-9301.3182
1107,11,151,141,38,8.4544,5.813,-11122.255
1471,14,207,199,42,8.5146,5.3549,-15111.761
1667,13,214,177,62,8.4259,6.0642,-19493.576
2304,30,243,274,75,8.4188,5.6081,-27186.981
2523,34,331,315,60,8.461,6.3718,-32219.907
325,0,20,33,2,8.3754,0.8585,-2339.4107
331,0,15,64,1,8.4894,1.1722,-2379.8512
523,0,97,91,4,8.4818,3.1549,-4262.7591
650,2,122,94,8,8.6662,4.0738,-6197.3946
745,1,110,126,10,8.7289,4.6617,-7437.3443
1047,1,151,150,10,8.6734,3.9752,-10349.32
1085,7,176,165,19,8.6341,5.2931,-11603.889
1378,9,214,209,29,8.635,5.6212,-15573.586
1681,9,283,247,27,8.6038,5.7698,-18993.328
2065,7,302,314,45,8.5976,6.0349,-24383.041
338,0,13,43,1,8.4704,0.9615,-2301.5531
331,0,19,48,0,8.5287,1.4411,-2341.3358
482,0,80,98,8,8.4959,4.2344,-4052.9994
572,0,102,124,7,8.5559,5.035,-4996.4976
680,2,121,110,14,8.6132,5.525,-6380.6166
770,4,144,120,12,8.5143,6.0831,-7480.0963
1013,4,136,144,23,8.5252,5.231,-10094.263
1227,4,187,211,23,8.6373,5.5061,-13645.945
1431,8,221,198,45,8.55,5.5961,-16354.413
1880,17,295,254,47,8.5718,5.8149,-22533.273
316,0,9,39,2,8.2215,0.8576,-2054.5371
309,0,15,59,0,8.4531,1.5469,-2105.8441
370,0,79,63,1,8.5973,3.273,-2918.5056
469,0,109,82,3,8.5928,4.5309,-3930.1093
710,1,113,109,18,8.5507,4.2423,-5926.2396
739,6,118,119,21,8.4871,5.8755,-6797.6231
809,10,109,119,26,8.466,5.9394,-7654.3286
877,8,158,136,26,8.5074,6.3934,-8611.809
1249,2,207,188,34,8.5661,5.4652,-12335.321
1335,13,202,182,33,8.5775,5.1655,-14537.571
228,0,26,44,1,8.1184,2.2018,-1192.3096
316,0,29,53,0,8.1519,1.8101,-1670.89
372,0,75,71,1,8.5699,3.1935,-2924.9892
424,0,105,75,2,8.6038,5.7759,-3561.5836
483,6,108,82,10,8.5114,5.9834,-4161.2757
519,5,121,86,9,8.5145,6.1195,-4531.7387
750,7,153,125,10,8.548,5.556,-6493.1341
859,11,181,133,18,8.4866,6.3283,-7866.9427
1139,9,222,162,23,8.5224,6.0931,-10498.418
1326,7,225,220,35,8.5995,5.6131,-12514.912
590,0,93,111,7,8.7407,3.7593,-6000.7349
606,1,69,63,4,8.571,2.8828,-6150.8588
1289,9,162,192,29,8.6618,5.2273,-17418.531
1893,12,227,239,32,8.6577,5.2023,-27202.77
2397,9,200,281,42,8.6742,5.3855,-40965.058
2618,49,294,325,93,8.581,6.7804,-50909.705
2643,60,286,323,127,8.5785,6.9364,-52584.53
2677,61,301,315,123,8.5644,7.1505,-53279.168
2697,70,312,328,155,8.5888,7.2966,-53582.503
2710,68,325,343,131,8.6077,7.2137,-53772.854
568,0,99,71,7,8.6655,2.338,-5659.0441
583,0,73,83,5,8.6209,1.9365,-5749.3215
1239,5,118,139,18,8.6683,3.519,-16190.054
1691,14,184,194,22,8.6765,3.9663,-23783.001
2343,5,267,283,32,8.6906,4.6137,-37975.144
2528,17,324,373,51,8.7551,5.735,-46487.627
2595,23,341,358,60,8.7557,6.3206,-49792.989
2649,36,359,394,81,8.7671,6.5625,-51380.027
2656,39,380,415,97,8.7609,6.8946,-52168.348
2677,37,384,421,68,8.7815,7.1106,-52603.84
551,0,51,94,4,8.7405,2.078,-5328.0872
550,0,61,78,3,8.6964,1.9509,-5364.9642
1024,3,100,118,16,8.6445,3.8936,-12043.294
1340,1,165,210,32,8.5993,4.9179,-16092.709
1939,7,240,290,51,8.6122,5.0031,-24866.359
2320,11,212,312,40,8.6172,4.6517,-33821.387
2460,21,237,302,70,8.6492,5.4289,-40705.326
2553,31,279,319,67,8.691,5.8527,-46293.839
2590,32,302,316,80,8.6819,6.1969,-49214.35
2598,39,290,352,88,8.724,6.1212,-50500.435
521,1,49,76,3,8.5413,3.3743,-4854.041
517,2,64,82,13,8.5629,4.2108,-4893.6755
