N_surface,S_100,S_111,S_110,S_311,Avg_surf,q6q6_avg_surf,target
2677,33,264,349,116,8.5312,7.303,-52164.792
2674,39,276,326,147,8.5284,7.3785,-52415.553
550,0,59,80,2,8.7073,1.5491,-5366.1172
556,0,61,77,1,8.7734,1.8273,-5410.7834
1070,7,144,134,31,8.4495,5.7738,-11914.917
1408,6,110,192,37,8.4048,5.8686,-16582.132
2120,12,186,234,55,8.3665,5.4042,-26391.267
2396,10,159,260,96,8.3376,6.0902,-33978.437
2650,16,214,306,106,8.3838,6.5155,-40599.667
2722,23,224,271,135,8.3681,6.6833,-46423.746
2748,23,263,254,184,8.4276,7.0215,-49379.026
2727,19,248,293,167,8.4158,7.2391,-50761.688
519,0,36,67,3,8.7168,1.106,-4875.0033
516,0,42,73,0,8.7171,0.9438,-4913.1982
851,0,81,112,8,8.6957,2.1152,-9093.5164
1059,1,178,189,16,8.7252,4.4212,-11952.611
1442,4,199,212,30,8.6415,4.8232,-16999.889
1960,4,255,257,37,8.6332,4.9092,-24918.315
2124,6,302,278,52,8.5946,5.7491,-29973.547
2446,8,331,304,60,8.5993,5.9019,-37397.661
2684,12,356,336,85,8.5946,6.0995,-43103.767
2634,11,414,384,82,8.6192,6.7137,-46604.662
468,0,38,68,1,8.5662,1.3504,-4096.9118
469,0,37,70,3,8.6631,1.2985,-4166.737
724,0,136,124,5,8.6685,3.5401,-7093.1755
836,7,121,125,26,8.5359,5.5335,-8735.7553
1188,9,128,148,44,8.3973,5.5833,-12151.084
1644,11,225,222,62,8.4276,5.5255,-17230.203
2089,15,269,269,67,8.4313,5.6544,-24134.854
2358,18,296,330,95,8.4372,6.335,-29845.642
2573,32,280,304,100,8.4714,6.0766,-35102.523
2637,31,318,305,97,8.4869,6.3064,-39185.429
400,0,19,52,2,8.4875,1.0275,-3336.3277
401,2,25,53,1,8.591,1.2643,-3381.1502
598,0,70,92,2,8.6957,2.2575,-5623.7664
704,2,141,115,7,8.6662,5.679,-7039.6161
809,3,152,124,18,8.6106,6.0284,-8477.1375
1108,10,189,169,18,8.6877,5.2446,-11698.99
1406,20,205,205,40,8.5043,5.6351,-14655.703
1716,11,170,211,65,8.4184,5.9376,-19514.648
2169,22,271,247,81,8.4633,6.2033,-25745.445
2520,20,318,288,86,8.4512,6.2361,-31773.999
354,0,27,51,2,8.4689,1.6977,-2585.3952
356,0,36,60,1,8.5815,1.5843,-2633.3178
531,1,69,102,5,8.5932,2.8512,-4546.8686
582,5,94,106,16,8.5567,5.2474,-5400.6204
