N_bulk,Avg_bulk,BCN_10,BCN_11,BCN_12,BCN_13,BCN_14,BCN_15,FCC,HCP,DECA,q6q6_avg_bulk,q6q6_B0,q6q6_B1,q6q6_B2,q6q6_B3,q6q6_B4,q6q6_B5,q6q6_B6,q6q6_B7,q6q6_B8,q6q6_B9,q6q6_B10,q6q6_B11,q6q6_B12,q6q6_B13,q6q6_B14
1512,12.0238,0,2,1473,36,1,0,1077,352,13,11.7196,0,2,8,4,0,3,0,2,59,9,2,15,1381,27,0
1489,12.0275,0,0,1448,41,0,0,1109,307,14,11.7515,0,0,12,1,1,1,0,2,58,4,0,4,1374,32,0
1449,12.0166,0,0,1425,24,0,0,1347,67,0,12.0041,0,0,0,0,0,0,0,0,0,1,1,10,1416,21,0
1432,12.0237,0,1,1397,33,1,0,1359,15,0,12.0112,0,0,0,0,0,0,0,0,1,0,1,12,1385,32,1
1384,12.0564,0,3,1301,79,1,0,1289,0,0,12.0484,0,0,0,0,0,0,0,0,0,0,2,2,1308,71,1
1437,12.0536,0,1,1358,78,0,0,987,306,12,11.8093,0,1,8,3,0,0,0,0,52,4,1,6,1290,72,0
1513,12.0205,0,0,1482,31,0,0,1102,341,12,11.7568,0,1,10,2,0,1,1,0,59,3,0,9,1399,28,0
1450,12.0324,0,11,1381,58,0,0,1329,13,0,12.0103,0,0,0,0,0,0,0,0,0,0,2,34,1361,53,0
1503,12.0259,0,0,1464,39,0,0,1127,299,13,11.7784,0,1,10,1,1,0,0,0,55,5,0,4,1392,34,0
1469,12.0538,0,0,1390,79,0,0,1368,0,0,12.0504,0,0,0,0,0,0,0,0,0,1,0,0,1391,77,0
1469,12.0817,0,0,1352,114,3,0,1344,0,0,12.081,0,0,0,0,0,0,0,0,0,0,0,0,1353,113,3
1442,12.1442,0,0,1251,176,13,2,901,313,12,11.9008,0,1,8,2,1,0,0,0,52,2,2,2,1189,172,11
1549,12.031,0,0,1505,40,4,0,1160,306,14,11.7773,0,1,6,4,3,0,0,0,56,7,2,2,1433,33,2
1337,12.1473,0,0,1148,184,3,1,1111,8,0,11.9948,4,1,0,2,1,0,4,2,3,5,2,4,1163,145,1
1543,12.0376,0,0,1486,56,1,0,1142,306,13,11.7952,0,1,7,5,0,0,0,1,55,2,3,4,1415,49,1
1587,12.0227,0,1,1552,31,3,0,1469,45,0,11.9767,0,0,0,0,1,1,0,0,2,0,7,25,1526,25,0
1465,12.0608,0,1,1376,86,2,0,1335,12,0,12.0437,0,0,0,0,0,0,0,0,0,1,3,11,1368,80,2
1546,12.0336,0,3,1488,55,0,0,1466,0,0,12.0239,0,0,0,0,0,0,0,0,0,0,0,17,1475,54,0
1546,12.0408,0,3,1478,64,1,0,1459,0,0,12.0246,0,0,0,0,0,0,0,0,0,0,0,22,1464,60,0
1544,12.0369,0,2,1483,59,0,0,1461,0,0,12.0324,0,0,0,0,0,0,0,0,0,0,0,8,1478,58,0
1558,12.0571,0,0,1470,87,1,0,1129,307,12,11.8107,0,1,9,2,1,0,0,0,56,4,1,8,1398,78,0
1598,12.03,0,0,1551,46,1,0,1181,329,12,11.801,0,1,7,4,0,0,1,0,52,8,0,4,1481,39,1
1501,12.038,0,2,1440,59,0,0,1415,0,0,12.0373,0,0,0,0,0,0,0,0,0,0,0,2,1441,58,0
1630,12.1141,0,5,1436,187,2,0,1070,247,0,12.0141,0,0,1,0,1,1,2,1,5,9,10,30,1409,160,1
1610,12.0236,0,0,1572,38,0,0,1551,3,0,12.0106,0,0,0,0,0,0,0,0,0,0,1,17,1556,36,0
1579,12.0405,0,0,1516,62,1,0,1163,309,14,11.7853,0,0,12,2,0,0,0,0,63,2,0,2,1440,57,1
1518,12.027,0,4,1469,45,0,0,1444,1,0,12.0105,0,0,0,0,0,1,0,0,0,0,2,13,1462,40,0
1634,12.0294,0,0,1586,48,0,0,1212,338,13,11.7889,0,1,8,4,1,0,0,0,59,6,0,0,1511,44,0
1501,12.0626,0,1,1406,93,1,0,1389,0,0,12.0553,0,0,0,0,0,0,0,0,0,0,1,1,1414,84,1
1589,12.061,0,0,1493,95,1,0,1143,304,14,11.8131,0,2,8,1,3,0,0,0,58,7,0,4,1412,93,1
1650,12.0176,0,0,1621,29,0,0,1548,42,0,11.9873,0,0,0,0,0,0,0,2,0,2,1,25,1598,22,0
1673,12.0203,0,0,1639,34,0,0,1615,0,0,12.0185,0,0,0,0,0,0,0,0,0,0,0,3,1636,34,0
1654,12.0326,0,0,1601,52,1,0,1580,0,0,12.0308,0,0,0,0,0,0,0,0,0,0,0,1,1602,50,1
1637,12.0348,0,0,1582,53,2,0,1554,0,0,12.0195,0,0,0,0,0,0,0,0,0,1,1,18,1564,51,2
1648,12.0237,0,0,1609,39,0,0,1225,339,13,11.8028,0,1,8,2,1,1,0,0,54,4,2,2,1540,33,0
1535,12.045,0,2,1463,69,1,0,1422,13,0,12.03,0,0,0,0,0,0,0,0,0,0,4,11,1456,63,1
1651,12.0321,0,1,1598,50,2,0,1481,70,0,11.9843,0,0,0,0,0,0,0,2,0,0,8,34,1573,34,0
1663,12.0192,0,0,1631,32,0,0,1230,361,13,11.7793,0,2,6,5,0,0,1,3,52,6,5,8,1550,25,0
1628,12.0172,0,10,1580,38,0,0,1546,9,0,11.992,0,0,0,0,0,0,0,0,3,2,2,23,1566,32,0
1709,12.0176,0,0,1679,30,0,0,1666,0,0,12.017,0,0,0,0,0,0,0,0,0,0,0,1,1678,30,0
1527,12.0635,0,3,1426,96,2,0,1415,0,0,12.0616,0,0,0,0,0,0,0,0,0,0,0,3,1429,93,2
1658,12.0476,0,0,1579,79,0,0,1216,334,12,11.8323,0,1,7,1,2,2,0,1,48,10,1,2,1510,73,0
1666,12.0264,0,1,1623,39,3,0,1523,56,0,11.9688,0,0,0,0,0,0,1,0,0,7,9,36,1586,25,2
1714,12.0274,0,0,1667,47,0,0,1267,361,14,11.79,0,0,9,4,1,0,0,0,58,6,2,7,1592,35,0
1542,12.0525,0,4,1454,83,1,0,1406,21,0,12.035,0,0,0,0,0,0,0,0,0,2,2,15,1445,77,1
1552,12.0522,0,5,1463,82,2,0,1450,0,0,12.047,0,0,0,0,0,0,0,0,0,0,1,7,1464,78,2
1672,12.0317,0,7,1605,60,0,0,1567,0,0,12.0161,0,0,0,0,0,0,0,0,0,0,1,28,1586,57,0
1737,12.0173,0,1,1705,31,0,0,1277,388,12,11.7691,0,2,9,2,0,1,0,2,60,6,3,12,1618,22,0
1623,12.0548,0,5,1525,92,1,0,1493,0,0,12.0481,0,0,0,0,0,0,0,0,0,0,1,7,1528,87,0
1657,12.0308,0,12,1583,61,1,0,1541,6,0,12.0097,0,0,0,0,0,0,0,0,0,0,6,23,1578,49,1
1720,12.0209,0,0,1684,36,0,0,1644,17,0,11.9965,0,0,0,0,0,0,1,0,0,3,1,23,1658,34,0
1804,12.0421,0,0,1728,76,0,0,1710,0,0,12.041,0,0,0,0,0,0,0,0,0,0,0,2,1726,76,0
1834,12.0654,0,0,1719,110,5,0,1695,0,0,12.0638,0,0,0,0,0,0,0,0,0,0,0,1,1720,108,5
1444,12.0575,0,0,1361,83,0,0,1349,0,0,12.0561,0,0,0,0,0,0,0,0,0,0,0,1,1361,82,0
1992,12.0377,0,3,1913,74,2,0,1873,0,0,12.0246,0,0,0,0,0,0,0,0,0,2,1,20,1894,73,2
2057,12.0122,0,0,2032,25,0,0,2001,0,0,12.0092,0,0,0,0,0,0,0,0,0,0,0,5,2028,24,0
1776,12.1306,0,1,1552,218,2,1,1530,6,0,11.9949,9,0,1,1,0,2,1,1,4,1,2,3,1583,167,1
1949,12.0564,0,0,1840,108,1,0,1823,0,0,12.0498,0,0,0,0,0,0,0,0,0,0,1,1,1848,98,1
2190,12.0224,0,0,2141,49,0,0,2107,0,0,12.0219,0,0,0,0,0,0,0,0,0,0,0,1,2140,49,0
1973,12.0588,0,3,1854,113,3,0,1825,2,0,12.0456,0,0,0,0,0,0,0,0,0,1,2,10,1855,103,2
2280,12.0136,0,1,2247,32,0,0,2205,0,0,11.9982,0,0,0,0,0,0,0,0,0,0,3,22,2231,24,0
2225,12.0328,0,0,2153,71,1,0,2120,0,0,12.0328,0,0,0,0,0,0,0,0,0,0,0,0,2153,71,1
2227,12.018,0,1,2185,41,0,0,2133,18,0,12.0013,0,0,0,0,0,0,0,0,0,4,3,15,2169,36,0
2255,12.0461,0,0,2155,96,4,0,2140,0,0,12.0448,0,0,0,0,0,0,0,0,0,0,0,0,2158,93,4
2250,12.0164,0,18,2177,55,0,0,2118,8,0,11.9831,0,0,0,0,0,0,1,0,0,2,6,52,2151,38,0
2401,12.0079,0,1,2380,20,0,0,2337,0,0,11.9833,0,0,0,0,0,0,0,1,1,4,6,24,2348,17,0
2407,12.0283,0,0,2339,68,0,0,2301,0,0,12.0137,0,0,0,0,0,0,0,0,0,0,5,17,2325,60,0
2426,12.0256,0,4,2359,60,3,0,2214,98,0,11.9468,2,0,1,0,2,1,0,4,2,7,12,38,2318,39,0
2670,12.0157,0,0,2628,42,0,0,2611,0,0,12.0154,0,0,0,0,0,0,0,0,0,0,0,1,2627,42,0
2445,12.0417,0,3,2341,97,4,0,2313,0,0,12.0368,0,0,0,0,0,0,0,0,0,0,0,3,2352,87,3
2307,12.1006,0,0,2079,225,2,1,2036,13,1,12.0321,3,2,0,1,0,0,2,1,3,3,3,5,2094,190,0
2621,12.024,0,3,2552,66,0,0,2503,0,0,12.0134,0,0,0,0,0,0,1,0,0,1,1,18,2536,64,0
2541,12.026,0,15,2445,81,0,0,2412,0,0,12.0094,0,0,0,0,0,0,0,0,0,1,4,33,2435,68,0
2480,12.0435,0,4,2366,108,2,0,2324,15,0,12.0367,0,0,0,0,0,0,0,0,1,0,2,10,2359,107,1
2735,12.0223,0,0,2675,59,1,0,2635,0,0,12.0205,0,0,0,0,0,0,0,0,0,0,0,3,2674,57,1
2706,12.02,0,0,2654,50,2,0,2628,0,0,12.0188,0,0,0,0,0,0,0,0,0,0,0,2,2653,49,2
2736,12.0424,0,0,2623,110,3,0,2594,0,0,12.0406,0,0,0,0,0,0,0,0,0,0,1,0,2625,107,3
2861,12.0245,0,3,2786,71,1,0,2727,7,0,12.0129,0,0,0,0,0,0,0,0,0,2,5,17,2768,68,1
2817,12.0188,0,5,2755,56,1,0,2706,0,0,12.0146,0,0,0,0,0,0,0,0,0,0,0,14,2749,53,1
2931,12.0167,0,22,2838,71,0,0,2772,23,0,11.9986,0,0,0,0,0,0,1,0,0,0,4,49,2818,59,0
3101,12.0187,0,0,3043,58,0,0,3006,0,0,12.0184,0,0,0,0,0,0,0,0,0,0,0,1,3042,58,0
3119,12.0224,0,2,3045,72,0,0,2988,0,0,12.0064,0,0,0,0,0,1,0,1,0,0,1,28,3026,62,0
3252,12.0095,0,0,3221,31,0,0,3168,0,0,11.9972,0,0,0,0,0,0,0,0,1,0,3,28,3191,29,0
3010,12.0488,0,2,2863,141,4,0,2834,0,0,12.0449,0,0,0,0,0,0,0,0,0,0,0,2,2872,135,1
2934,12.1009,0,1,2646,280,5,1,2590,17,0,12.0184,5,0,2,0,3,2,2,2,2,4,6,15,2652,237,2
3251,12.0218,0,0,3181,69,1,0,3146,0,0,12.0218,0,0,0,0,0,0,0,0,0,0,0,0,3181,69,1
3073,12.0397,0,6,2940,126,1,0,2887,11,0,12.0244,0,0,0,0,0,0,0,0,0,5,7,15,2928,117,1
3348,12.0146,0,1,3297,50,0,0,3265,0,0,12.0134,0,0,0,0,0,0,0,0,0,0,0,4,3295,49,0
3252,12.0169,0,5,3188,58,1,0,3137,19,0,12.0062,0,0,0,0,0,0,0,0,2,0,4,19,3172,55,0
3281,12.0427,0,0,3144,134,3,0,3116,0,0,12.0421,0,0,0,0,0,0,0,0,0,0,0,0,3146,132,3
3388,12.0213,0,4,3308,76,0,0,3250,0,0,12.0109,0,0,0,0,0,0,0,0,0,1,4,23,3289,71,0
3407,12.0158,0,2,3349,56,0,0,3189,107,0,11.993,0,0,0,0,0,0,0,0,1,5,10,30,3316,45,0
3320,12.0196,0,19,3217,84,0,0,3151,12,0,11.9991,0,0,0,1,0,0,0,0,0,1,5,58,3178,77,0
3665,12.0191,0,2,3592,70,1,0,3534,0,0,12.0074,0,0,0,0,0,0,0,0,1,1,1,28,3571,62,1
3714,12.0178,0,0,3648,66,0,0,3620,0,0,12.0172,0,0,0,0,0,0,0,0,0,0,0,2,3646,66,0
3871,12.0072,0,2,3839,30,0,0,3802,0,0,12.0054,0,0,0,0,0,0,0,0,0,0,0,8,3834,29,0
3710,12.0137,0,27,3605,78,0,0,3544,6,0,11.9925,0,0,0,0,0,0,0,1,1,6,9,44,3588,61,0
3651,12.0435,0,3,3488,158,2,0,3452,0,0,12.0403,0,0,0,0,0,0,0,0,0,0,0,5,3496,148,2
3864,12.0236,0,0,3774,89,1,0,3728,0,0,12.022,0,0,0,0,0,0,0,0,0,0,0,3,3774,86,1
3958,12.0202,0,0,3878,80,0,0,3819,2,0,12.0129,0,0,0,0,0,0,0,0,0,0,0,21,3865,72,0
3894,12.0385,0,0,3751,136,7,0,3712,0,0,12.0375,0,0,0,0,0,0,0,0,0,0,0,1,3753,133,7
3746,12.0403,0,5,3587,152,2,0,3523,22,0,12.0307,0,0,0,0,0,0,0,0,0,1,3,15,3590,135,2
3760,12.0335,0,7,3622,129,2,0,3574,0,0,12.0285,0,0,0,0,0,0,0,0,0,0,2,13,3622,122,1
3662,12.0953,0,1,3318,337,5,1,3262,20,0,12.0344,5,1,2,0,1,0,0,1,1,6,7,16,3340,282,0
4016,12.0095,0,5,3969,41,1,0,3922,0,0,12.0062,0,0,0,0,0,0,0,0,0,0,2,12,3962,39,1
4272,12.0171,0,0,4199,73,0,0,4142,4,0,12.0101,0,0,0,0,0,0,0,0,0,1,0,26,4173,72,0
4452,12.007,0,1,4421,29,0,1,4355,0,0,11.9921,0,0,0,0,0,1,1,0,1,1,6,27,4391,24,0
4399,12.0186,0,0,4317,82,0,0,4281,0,0,12.0184,0,0,0,0,0,0,0,0,0,0,0,1,4316,82,0
4612,12.0143,0,5,4540,63,4,0,4412,58,0,11.9803,0,1,0,0,0,0,1,0,3,10,14,49,4490,43,1
4605,12.0232,0,0,4500,103,2,0,4418,0,0,12.0145,0,0,0,0,0,0,1,0,1,0,0,21,4485,96,1
4549,12.0193,0,0,4461,88,0,0,4418,0,0,12.0187,0,0,0,0,0,0,0,0,0,0,0,2,4460,87,0
4579,12.0284,0,0,4454,120,5,0,4418,0,0,12.0284,0,0,0,0,0,0,0,0,0,0,0,0,4454,120,5
4796,12.0094,0,0,4751,45,0,0,4698,0,0,12.0094,0,0,0,0,0,0,0,0,0,0,0,0,4751,45,0
4687,12.0094,0,43,4557,87,0,0,4468,8,0,11.9927,0,0,0,0,0,0,0,0,0,2,9,82,4522,72,0
4502,12.0302,0,4,4359,138,1,0,4317,0,0,12.0278,0,0,0,0,0,0,0,0,0,0,2,3,4366,130,1
4527,12.0318,0,13,4358,155,1,0,4294,8,0,12.0177,0,0,0,1,0,0,0,1,2,2,7,21,4351,141,1
4957,12.0137,0,0,4889,68,0,0,4848,0,0,12.0135,0,0,0,0,0,0,0,0,0,0,0,1,4888,68,0
4947,12.0206,0,8,4829,110,0,0,4759,0,0,12.0109,0,0,0,0,0,0,0,0,0,1,0,41,4807,98,0
4510,12.0847,0,1,4134,368,6,1,4038,24,0,12.0208,3,1,3,1,3,0,3,3,6,6,8,19,4142,310,2
5160,12.0151,0,0,5084,74,2,0,5035,0,0,12.0145,0,0,0,0,0,0,0,0,0,0,0,2,5082,75,1
5166,12.0165,0,26,5029,111,0,0,4957,0,0,12.006,0,0,0,0,0,0,0,0,0,0,11,45,5012,98,0
5307,12.0222,0,0,5189,118,0,0,5112,0,0,12.0141,0,0,0,0,0,0,0,0,0,0,3,31,5161,112,0
5310,12.0188,0,0,5210,100,0,0,5169,0,0,12.0185,0,0,0,0,0,0,0,0,0,0,0,2,5208,100,0
5340,12.0273,0,0,5196,142,2,0,5145,0,0,12.0272,0,0,0,0,0,0,0,0,0,0,0,0,5197,141,2
5684,12.012,0,0,5616,68,0,0,5513,0,0,12.0058,0,0,0,0,0,0,0,0,0,0,3,26,5590,65,0
5494,12.0142,0,4,5408,82,0,0,5357,0,0,12.0109,0,0,0,0,0,0,0,1,0,0,0,13,5402,78,0
5684,12.0164,0,0,5592,91,1,0,5526,5,0,12.0109,0,0,0,0,0,0,0,0,0,0,3,22,5570,88,1
5370,12.0326,0,4,5188,177,1,0,5129,0,0,12.0296,0,0,0,0,0,0,0,0,0,0,1,5,5199,164,1
5385,12.0338,0,7,5194,179,5,0,5124,11,0,12.0286,0,0,0,0,0,0,0,0,0,0,5,12,5197,166,5
5882,12.0109,0,0,5818,64,0,0,5767,0,0,12.0109,0,0,0,0,0,0,0,0,0,0,0,0,5818,64,0
5787,12.0118,0,51,5619,116,0,1,5543,0,0,11.9986,0,0,1,0,0,0,0,1,1,1,6,74,5603,100,0
5466,12.0785,0,3,5040,415,7,1,4920,38,0,12.0291,3,0,1,3,3,3,3,2,1,10,8,14,5048,365,2
6001,12.0123,0,0,5927,74,0,0,5868,0,0,12.0123,0,0,0,0,0,0,0,0,0,0,0,0,5927,74,0
6062,12.0107,0,3,5994,62,3,0,5856,64,0,11.9888,0,0,0,0,0,2,0,3,3,4,9,44,5950,47,0
6082,12.0184,0,1,5968,113,0,0,5867,3,0,12.0071,0,0,0,0,0,0,0,0,1,4,5,31,5941,100,0
6181,12.0322,0,0,5986,191,4,0,5923,0,0,12.0322,0,0,0,0,0,0,0,0,0,0,0,0,5986,191,4
6525,12.0104,0,0,6457,68,0,0,6399,0,0,12.0087,0,0,0,0,0,0,0,1,0,0,0,5,6452,67,0
6488,12.0194,0,2,6358,128,0,0,6291,0,0,12.0102,0,0,0,0,0,0,1,0,2,1,4,29,6331,120,0
6380,12.0144,0,39,6210,131,0,0,6098,16,0,11.9908,0,0,0,0,1,1,1,0,2,4,11,106,6144,110,0
6333,12.0313,0,5,6128,197,3,0,6062,0,0,12.0278,0,0,0,0,0,0,0,0,0,0,1,9,6139,181,3
6592,12.0096,0,8,6514,69,1,0,6448,0,0,12.0064,0,0,0,0,0,0,1,0,0,0,0,18,6507,66,0
6356,12.0319,0,4,6146,205,1,0,6084,0,0,12.0286,0,0,0,0,0,0,0,0,0,1,1,9,6150,194,1
6894,12.0096,0,0,6828,66,0,0,6769,0,0,12.009,0,0,0,0,0,0,0,0,0,0,0,3,6826,65,0
6928,12.0157,0,2,6816,109,1,0,6732,0,0,12.012,0,0,0,0,0,0,0,0,0,0,1,25,6793,108,1
6926,12.0149,0,0,6823,103,0,0,6754,0,0,12.0146,0,0,0,0,0,0,0,0,0,0,0,2,6821,103,0
6973,12.0125,0,34,6818,121,0,0,6742,3,0,11.9997,0,0,0,0,0,0,0,1,1,4,10,68,6782,107,0
6551,12.0746,0,0,6070,475,4,2,5931,46,1,12.0379,8,1,1,0,3,0,2,0,1,3,2,6,6101,422,1
7106,12.0281,0,0,6911,190,5,0,6842,0,0,12.028,0,0,0,0,0,0,0,0,0,0,0,0,6912,189,5
7413,12.0076,0,0,7358,54,1,0,7266,0,0,12.0018,0,0,0,0,0,0,0,0,0,1,2,31,7329,49,1
7384,12.0195,0,0,7241,142,1,0,7143,0,0,12.0139,0,0,0,0,0,0,0,0,0,0,2,28,7220,133,1
7826,12.0098,0,0,7749,77,0,0,7656,0,0,12.0098,0,0,0,0,0,0,0,0,0,0,0,0,7749,77,0
7779,12.012,0,5,7680,91,2,1,7489,91,0,11.9911,0,1,0,1,0,0,0,2,0,5,15,67,7615,73,0
7401,12.0274,0,3,7192,206,0,0,7129,0,0,12.025,0,0,0,0,0,0,0,0,0,0,1,6,7201,193,0
7857,12.0205,0,0,7697,159,1,0,7584,0,0,12.0137,0,0,0,0,0,0,0,0,0,0,2,42,7660,152,1
7448,12.0324,0,5,7200,240,3,0,7133,0,0,12.0252,0,0,0,0,1,0,0,0,1,1,2,12,7215,213,3
7939,12.0123,0,0,7842,96,1,0,7746,0,0,12.0121,0,0,0,0,0,0,0,0,0,0,0,2,7840,96,1
8119,12.023,0,0,7938,175,6,0,7880,0,0,12.0227,0,0,0,0,0,0,0,0,0,0,0,0,7941,172,6
7778,12.0651,0,1,7277,493,7,0,7088,106,0,12.0413,6,1,0,0,0,2,0,0,1,2,5,8,7308,444,1
8436,12.0101,0,52,8247,137,0,0,8143,4,0,11.9963,0,0,0,0,0,0,0,0,1,2,19,96,8205,113,0
8610,12.0085,0,5,8527,78,0,0,8463,0,0,12.0051,0,0,0,0,0,0,0,0,0,0,0,24,8518,68,0
8848,12.0179,0,3,8685,159,1,0,8591,0,0,12.0106,0,0,0,0,0,0,0,1,1,1,2,37,8659,147,0
8577,12.0262,0,4,8347,223,3,0,8284,0,0,12.0244,0,0,0,0,0,0,0,0,0,0,1,4,8359,211,2
8642,12.026,0,10,8399,231,2,0,8305,0,0,12.0228,0,0,0,0,0,0,0,0,0,0,1,13,8418,208,2
9044,12.0147,0,0,8911,133,0,0,8830,0,0,12.0147,0,0,0,0,0,0,0,0,0,0,0,0,8911,133,0
9416,12.0099,0,0,9323,93,0,0,9232,0,0,12.0097,0,0,0,0,0,0,0,0,0,0,0,2,9321,93,0
9442,12.0082,0,1,9363,78,0,0,9260,0,0,12.0032,0,0,0,0,0,0,0,0,0,1,4,35,9326,76,0
9157,12.0105,0,46,8970,140,1,0,8864,0,0,12.0033,0,0,0,0,0,0,0,0,0,0,4,85,8946,121,1
9385,12.0175,0,3,9217,163,2,0,9094,0,0,12.0134,0,0,0,0,0,0,0,0,0,0,4,30,9189,160,2
9224,12.0297,0,0,8962,250,12,0,8874,0,0,12.0293,0,0,0,0,0,0,0,0,0,0,0,0,8965,248,11
9813,12.0102,0,7,9700,105,1,0,9466,101,0,11.9967,0,0,1,0,0,0,0,0,2,4,13,59,9651,83,0
9151,12.0613,0,1,8594,551,4,1,8407,86,0,12.0375,2,0,2,0,2,2,0,2,4,5,4,25,8612,491,0
10179,12.0082,0,0,10097,81,1,0,10000,0,0,12.0075,0,0,0,0,0,0,0,0,0,0,0,7,10090,81,1
10035,12.0099,0,60,9817,157,1,0,9695,1,0,11.9994,0,0,0,0,1,0,1,0,3,2,7,104,9774,142,1
9970,12.0256,0,10,9700,255,5,0,9581,19,0,12.0222,0,0,0,0,0,0,0,0,0,0,4,19,9704,238,5
10500,12.0169,0,1,10321,178,0,0,10203,0,0,12.0124,0,0,0,0,0,0,0,0,0,0,1,37,10293,169,0
10425,12.023,0,0,10194,222,9,0,10083,0,0,12.0229,0,0,0,0,0,0,0,0,0,0,0,0,10195,221,9
10821,12.0105,0,0,10707,114,0,0,10619,0,0,12.0103,0,0,0,0,0,0,0,0,0,0,0,3,10704,114,0
10913,12.0103,0,59,10684,169,1,0,10537,15,0,11.9958,0,0,0,0,0,1,2,1,0,1,12,145,10602,148,1
11180,12.0106,0,0,11062,117,1,0,10969,0,0,12.0104,0,0,0,0,0,0,0,0,0,0,0,2,11061,116,1
1024,12.5469,3,72,426,411,109,3,5,22,14,2.1895,311,226,141,107,75,51,31,33,22,14,6,5,2,0,0
1050,12.5076,2,85,443,429,81,9,11,15,9,2.3152,320,229,128,99,85,56,41,28,22,21,11,8,2,0,0
3380,12.4207,15,209,1736,1185,223,11,496,328,19,8.1009,272,175,142,123,156,141,146,121,194,233,232,260,794,330,61
5504,12.3523,14,214,3382,1602,284,6,1750,775,8,10.9884,86,67,51,64,62,67,69,97,135,197,288,413,2803,939,166
8584,12.1535,59,320,6567,1501,132,1,4010,1536,4,11.5538,17,18,27,36,44,59,61,92,126,196,359,572,5911,993,73
10760,12.0857,24,300,9208,1175,51,0,6240,2268,5,11.8119,15,6,9,13,22,23,25,50,77,148,214,507,8814,821,16
11108,12.0783,13,261,9727,1053,52,1,6625,2365,6,11.8109,13,9,15,9,20,22,33,38,75,150,208,495,9299,696,26
11229,12.0772,11,262,9854,1053,49,0,6782,2299,5,11.8135,10,9,9,20,17,15,30,48,68,163,225,481,9411,698,25
11332,12.0717,7,276,10003,992,52,2,6903,2399,6,11.8132,13,8,12,16,14,19,38,39,70,171,195,493,9539,675,30
11382,12.0769,6,269,10011,1036,60,0,6895,2427,5,11.8193,14,9,9,9,22,19,35,38,58,177,197,506,9566,693,30
973,12.5005,2,64,424,419,56,8,37,37,1,4.0699,201,148,90,82,67,61,67,49,54,40,35,35,31,13,0
985,12.4711,6,70,451,375,78,5,32,24,3,4.2467,200,144,92,87,68,60,59,44,52,45,29,34,50,19,2
3120,12.266,15,149,2067,760,120,6,835,635,53,9.7859,65,64,67,71,88,70,96,113,271,148,197,248,1278,298,46
4625,12.1462,24,221,3503,796,75,3,1734,1105,81,9.9628,86,91,119,87,103,86,108,143,398,193,199,333,2412,259,8
7734,12.1628,48,329,5816,1372,153,9,2951,1737,129,10.0958,213,115,160,122,148,150,138,192,638,322,349,534,4131,480,42
9828,12.1458,30,392,7671,1578,151,4,4048,2275,140,10.5085,157,119,165,125,129,145,153,199,726,369,420,663,5729,674,55
10665,12.1555,21,347,8426,1697,166,6,4749,2390,152,10.7769,109,79,156,120,112,138,148,209,730,385,360,608,6621,809,81
10976,12.1475,20,306,8823,1692,132,3,4973,2572,156,10.9134,68,55,134,123,121,121,135,174,769,372,354,629,7013,851,57
11134,12.1452,7,329,8975,1689,131,3,4969,2639,161,10.8745,71,64,150,104,127,127,146,190,770,375,412,665,7095,790,48
11221,12.138,13,307,9159,1600,139,2,5207,2660,164,10.8967,88,89,146,120,104,104,141,152,753,376,387,635,7283,776,67
903,12.5493,3,66,378,353,94,9,4,9,8,1.1794,412,245,114,56,27,21,10,6,5,3,2,2,0,0,0
909,12.4884,3,81,391,338,95,1,4,12,6,1.3553,381,238,126,68,34,24,15,9,4,3,7,0,0,0,0
2178,12.4582,21,189,936,851,167,12,26,43,11,2.4141,671,465,270,204,142,113,84,70,52,40,25,22,15,4,1
2966,12.4299,6,195,1470,1096,188,6,234,238,20,6.5523,331,254,211,178,149,165,169,154,169,166,182,208,454,155,21
4748,12.3976,33,253,2523,1644,278,10,632,702,25,8.7492,324,199,164,119,151,148,186,223,267,260,308,422,1344,552,81
6884,12.3486,33,260,4227,1984,361,13,1667,1348,14,10.8677,92,66,78,64,81,89,131,158,251,311,358,573,3347,1106,179
8387,12.2261,55,340,5910,1766,300,5,2625,2206,1,11.4469,31,29,31,42,40,63,79,124,164,262,381,630,5259,1075,177
9766,12.1458,64,373,7581,1522,215,1,3561,3026,4,11.5781,22,15,40,24,34,60,67,111,144,249,348,648,6906,955,143
10414,12.1201,47,361,8405,1473,121,2,4062,3375,6,11.6103,16,26,28,32,32,52,64,90,143,252,320,637,7743,911,68
10733,12.1254,35,344,8747,1425,175,1,4324,3407,5,11.6502,15,23,28,30,42,38,62,83,145,234,309,607,8102,905,110
812,12.4618,7,90,324,306,82,3,7,5,4,1.6527,325,190,104,55,45,42,17,14,4,9,2,4,1,0,0
821,12.4702,2,66,372,311,65,5,7,6,2,1.7954,282,218,120,65,48,25,16,11,16,7,7,3,2,1,0
1527,12.3523,13,102,831,494,83,3,175,190,28,5.9221,208,154,105,98,88,77,85,87,128,85,82,74,223,32,1
2282,12.3361,14,111,1352,692,101,7,413,356,43,8.4706,82,75,76,87,100,115,107,136,227,163,159,218,590,136,11
3334,12.4277,5,122,1841,1162,197,4,714,391,19,10.0357,86,57,66,59,62,85,101,119,149,217,237,330,1201,486,79
4608,12.3592,19,176,2759,1433,215,4,1345,665,18,10.8602,36,47,47,63,59,68,88,105,161,206,311,404,2125,753,135
6104,12.3427,38,226,3726,1828,274,9,1827,922,12,10.882,59,41,42,51,84,91,131,148,225,306,378,605,2867,924,152
